,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTimes90DaysLate,age,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
86524,0,0,39,0,3.0,0
76303,0,0,62,0,2.0,0
35577,0,0,45,0,3.0,0
16978,0,0,74,0,1.0,0
134642,0,0,66,0,1.0,0
64052,0,0,31,0,0.0,0
143945,0,0,62,0,0.0,0
60089,0,0,38,0,2.0,0
96987,0,0,44,0,2.0,0
66106,0,0,38,0,2.0,0
6571,0,0,59,0,0.0,0
51793,1,0,45,0,5.0,0
118484,0,0,41,0,0.0,0
36000,2,0,62,0,0.0,0
110389,0,0,61,0,0.0,0
31749,1,0,44,0,0.0,0
85249,0,0,66,0,1.0,0
4995,1,0,54,0,1.0,0
13893,0,2,32,0,1.0,0
54174,0,0,51,0,0.0,0
138206,0,0,31,0,2.0,0
79904,0,0,33,0,0.0,0
12167,0,0,50,0,2.0,0
70778,0,0,29,0,0.0,0
68306,0,0,46,0,3.0,0
91569,0,0,54,0,2.0,0
90758,2,0,68,0,0.0,0
25504,0,0,74,0,0.0,0
109526,0,0,28,1,0.0,0
10901,0,0,49,0,0.0,0
71559,0,0,70,0,0.0,0
49615,0,0,46,0,2.0,1
52055,0,0,57,0,2.0,0
22017,0,3,47,0,2.0,1
145133,0,0,45,0,0.0,0
34804,0,0,49,0,1.0,1
13400,0,0,25,0,2.0,1
58680,1,1,33,1,1.0,0
137761,0,1,56,0,4.0,0
139493,0,0,32,0,2.0,0
55143,0,0,59,0,0.0,0
80155,1,0,29,0,0.0,0
146654,0,0,51,0,0.0,0
52850,0,0,24,0,0.0,0
92047,2,0,38,2,2.0,0
133475,0,0,47,0,1.0,0
23919,0,0,55,0,3.0,0
66029,0,0,41,0,2.0,0
41342,0,0,60,0,0.0,0
146185,0,0,56,0,1.0,0
9175,0,0,56,0,1.0,0
112537,0,0,62,0,0.0,0
76428,2,0,28,0,0.0,1
11333,2,0,54,0,2.0,0
7041,0,3,44,1,3.0,0
14540,0,0,28,0,0.0,0
55242,0,0,62,0,0.0,0
115016,0,0,62,0,0.0,0
11597,0,0,57,0,0.0,0
80322,0,0,74,0,0.0,0
9108,0,0,29,0,2.0,0
126101,0,0,31,0,1.0,0
809,0,0,54,0,1.0,0
130123,0,0,50,0,1.0,0
128032,0,0,85,0,0.0,0
84323,0,0,42,0,2.0,0
134010,0,0,60,0,2.0,0
142223,0,0,49,0,5.0,0
46997,1,1,30,3,3.0,0
112376,0,0,50,0,2.0,0
86108,0,0,77,0,0.0,0
114060,0,0,29,0,1.0,0
145813,0,0,41,0,3.0,0
10,0,0,30,0,0.0,0
33826,0,0,52,0,2.0,0
121897,3,4,49,0,2.0,0
148898,0,0,62,0,0.0,0
6756,0,0,47,0,0.0,0
29761,0,0,66,0,1.0,0
135604,0,0,43,0,1.0,0
46130,1,0,58,0,1.0,0
102778,0,0,27,0,1.0,1
139531,0,0,53,0,0.0,0
61982,0,0,45,0,0.0,0
49491,0,0,39,0,2.0,0
36212,0,0,60,0,0.0,0
80841,0,0,54,0,2.0,0
109619,0,0,83,0,0.0,0
95748,0,0,63,0,0.0,0
75534,0,0,45,0,0.0,0
26095,1,0,45,0,1.0,0
130707,0,0,55,0,0.0,0
67565,0,0,48,0,1.0,0
76663,0,0,57,0,3.0,0
127805,0,0,69,0,0.0,0
142857,0,0,39,0,3.0,0
86790,0,0,71,0,0.0,0
115964,0,0,60,0,1.0,0
125605,0,0,66,0,0.0,0
112705,0,0,58,0,0.0,0
93034,0,0,41,0,3.0,0
6202,0,1,29,0,0.0,0
89203,0,0,54,0,1.0,0
40645,0,0,54,0,0.0,0
51613,0,0,55,0,2.0,0
58675,0,0,32,0,0.0,0
121461,0,0,76,0,0.0,0
12715,0,0,51,0,0.0,0
122796,0,0,73,0,0.0,0
131837,0,0,66,0,0.0,0
30404,0,0,54,0,0.0,0
89281,0,0,40,0,5.0,1
69488,0,0,60,0,0.0,0
75350,0,0,36,0,0.0,0
102708,0,0,65,0,1.0,0
109659,3,0,53,0,3.0,0
59598,0,0,60,0,0.0,0
10462,0,0,65,0,0.0,0
3924,0,0,58,0,3.0,0
149353,0,0,24,0,0.0,0
47824,0,0,72,0,0.0,0
114616,0,0,59,0,0.0,0
18140,0,0,74,0,0.0,1
80690,0,0,41,0,0.0,0
37574,1,0,57,0,1.0,0
147917,0,0,55,0,0.0,0
43836,0,0,58,0,0.0,0
55659,0,0,40,0,0.0,0
103742,0,0,34,0,0.0,0
43223,1,0,35,0,2.0,0
92680,3,0,30,0,0.0,0
131676,0,0,43,0,0.0,0
28600,0,0,59,0,0.0,0
136190,0,0,51,0,0.0,1
63255,0,0,68,0,0.0,0
91164,0,0,42,0,1.0,0
132725,0,0,57,0,0.0,0
60936,2,0,36,1,0.0,0
29371,0,0,52,0,0.0,0
36072,0,0,65,0,1.0,0
74178,2,0,60,0,0.0,0
59062,0,0,63,0,1.0,0
97767,0,0,31,0,0.0,0
23618,0,0,65,0,0.0,0
61390,0,0,69,0,0.0,0
36297,0,0,63,0,1.0,0
43126,3,0,46,0,0.0,0
8690,1,0,46,0,0.0,0
79280,0,0,63,0,0.0,0
20563,0,0,71,0,0.0,0
125610,0,0,59,0,0.0,0
140605,0,0,53,0,1.0,0
65407,0,0,61,0,0.0,0
101989,3,0,51,0,1.0,0
14059,2,0,34,0,2.0,0
140677,1,0,49,0,0.0,0
122906,0,0,50,0,2.0,0
94919,0,0,36,0,1.0,0
61577,1,0,58,0,1.0,0
83938,0,0,77,0,0.0,0
66653,0,0,59,0,0.0,0
49285,0,0,28,0,0.0,0
32783,0,0,53,0,2.0,0
147498,2,0,46,0,2.0,0
79672,0,0,24,0,1.0,0
34802,0,0,63,0,1.0,0
44759,0,0,84,0,0.0,0
109748,3,0,37,0,2.0,0
35475,0,0,65,0,0.0,0
88813,0,1,56,3,1.0,1
65277,1,0,65,0,0.0,0
119533,0,0,41,0,2.0,0
139917,0,0,46,0,0.0,0
113902,0,0,24,0,0.0,0
98905,0,0,42,0,0.0,0
94662,1,0,64,0,0.0,0
37152,0,0,49,0,2.0,0
34162,0,0,71,0,0.0,0
13211,0,0,23,0,0.0,0
26938,1,0,58,0,0.0,0
100631,0,0,57,0,0.0,0
113237,0,0,33,0,2.0,0
18216,0,0,28,0,0.0,0
98158,0,0,36,0,2.0,0
84964,2,0,45,0,5.0,0
10213,0,0,25,0,0.0,0
89870,0,0,72,0,0.0,0
125247,0,0,59,0,0.0,0
95046,0,11,48,0,0.0,1
106796,0,0,68,0,0.0,0
55278,0,0,49,0,3.0,0
91599,0,0,59,0,1.0,0
102961,0,0,43,0,2.0,0
55012,0,0,36,0,0.0,0
35494,0,0,47,0,1.0,0
25958,0,0,58,0,0.0,0
125562,0,0,57,0,0.0,0
12874,0,0,39,0,2.0,0
42049,0,0,72,0,0.0,0
147560,1,0,54,0,0.0,0
113435,0,0,50,0,2.0,0
67159,0,0,66,0,0.0,0
46015,0,0,67,0,0.0,0
86089,0,0,70,0,1.0,0
65715,0,0,35,0,0.0,0
102007,0,0,39,0,1.0,0
128185,0,0,42,0,3.0,0
16140,0,0,42,0,0.0,0
2699,0,0,57,0,1.0,0
54494,0,0,53,0,0.0,0
104870,0,2,54,0,0.0,0
57145,0,0,62,0,0.0,0
35016,0,0,43,0,2.0,0
26080,2,0,45,1,0.0,0
13328,0,0,63,0,1.0,0
102028,3,0,50,0,6.0,0
130507,0,0,57,0,0.0,0
89433,0,0,45,0,4.0,0
38509,0,0,22,0,0.0,0
50536,0,0,68,0,0.0,0
149507,0,0,32,0,2.0,0
1067,0,0,62,0,0.0,0
7463,0,0,64,0,1.0,0
28698,1,0,67,0,0.0,0
46991,0,0,35,0,0.0,0
143532,0,0,58,0,2.0,0
59624,0,0,69,0,1.0,0
12480,0,0,70,0,0.0,0
132010,0,0,50,0,3.0,0
88981,0,0,35,0,0.0,0
27406,0,0,70,0,2.0,0
100944,0,0,51,0,3.0,0
106768,1,0,56,0,1.0,1
122980,0,0,49,0,1.0,0
122161,2,0,37,1,0.0,0
8229,0,0,56,0,0.0,0
133773,0,0,41,0,2.0,0
36552,0,0,75,0,0.0,0
119394,0,0,61,0,0.0,0
61078,0,0,57,0,0.0,0
101236,0,0,70,0,1.0,0
44151,0,2,50,0,1.0,0
52641,1,1,43,0,1.0,0
32347,1,0,32,0,2.0,0
89828,0,0,46,0,2.0,0
116166,0,0,32,0,0.0,0
37346,0,0,28,0,1.0,0
22144,0,0,63,0,0.0,0
33797,0,0,53,0,1.0,0
24898,0,0,69,0,1.0,0
59919,0,0,37,0,3.0,0
100990,0,0,46,0,3.0,0
110104,0,0,26,0,0.0,0
96063,1,0,56,0,1.0,0
54304,0,0,37,0,0.0,0
144184,0,0,53,0,0.0,0
14796,0,0,28,0,0.0,0
15002,0,0,71,0,0.0,0
131335,0,0,35,0,1.0,0
85193,1,0,54,0,0.0,0
66013,0,0,67,0,1.0,0
122480,0,0,63,0,0.0,0
29143,0,0,56,1,2.0,0
27723,0,0,68,0,1.0,0
76717,0,0,32,0,0.0,0
105108,0,0,36,0,0.0,0
43503,0,0,74,0,0.0,0
52335,0,2,37,1,0.0,0
53214,1,0,45,0,2.0,0
17451,0,0,46,0,1.0,0
75159,0,0,41,0,3.0,0
31979,0,0,62,0,0.0,0
99243,0,0,57,0,2.0,0
99686,0,0,70,0,0.0,0
119667,0,0,72,0,0.0,0
115102,0,0,79,0,0.0,0
63016,0,0,31,0,0.0,0
55528,0,0,41,0,2.0,0
142950,0,0,80,0,1.0,0
121601,0,0,75,0,0.0,0
81083,0,0,52,0,3.0,0
136323,0,0,46,0,2.0,0
137813,0,0,65,0,3.0,0
4433,0,0,71,0,1.0,0
38289,0,0,43,0,1.0,0
55274,1,0,28,0,0.0,0
18685,0,0,28,0,0.0,0
62449,0,0,67,0,0.0,1
56467,0,0,71,0,1.0,0
91604,0,0,67,0,0.0,0
102671,0,0,30,0,0.0,0
20692,0,0,33,0,0.0,0
8734,0,1,45,0,0.0,0
33244,0,0,24,0,0.0,0
67033,0,0,49,0,2.0,0
54287,0,0,36,0,2.0,0
1215,0,0,74,0,0.0,0
105388,0,0,67,0,0.0,0
143131,0,0,45,0,1.0,0
131134,0,0,38,0,2.0,0
126398,0,0,47,0,2.0,0
51984,0,0,21,0,0.0,0
48483,0,0,41,0,2.0,0
53972,0,0,69,0,0.0,0
90312,0,0,54,0,0.0,0
110780,0,0,61,0,0.0,0
141840,0,0,56,0,0.0,0
53703,0,0,45,0,0.0,0
90932,0,0,63,0,0.0,0
35076,1,0,38,0,1.0,0
75556,0,0,72,0,0.0,0
143207,0,0,35,0,0.0,0
141980,1,2,45,0,2.0,0
75139,0,0,68,0,0.0,0
68470,0,0,32,0,0.0,0
35454,0,0,54,0,0.0,0
97260,0,0,61,0,0.0,0
115452,0,0,50,0,0.0,0
45076,0,0,63,0,0.0,0
122186,0,0,67,0,1.0,0
96725,2,0,23,0,0.0,0
87893,2,0,58,0,0.0,0
67323,0,0,38,0,0.0,0
13830,0,0,60,0,0.0,0
21071,1,0,56,0,2.0,0
123956,0,0,52,0,0.0,0
81441,0,0,67,0,0.0,0
57649,0,0,56,0,0.0,0
116487,0,0,50,0,2.0,0
140992,1,0,59,0,0.0,0
128861,0,0,64,0,0.0,0
24101,0,0,35,0,2.0,0
110963,0,0,41,0,0.0,0
117033,0,0,75,0,1.0,0
30744,0,0,24,0,0.0,0
46977,3,1,53,1,1.0,0
90149,0,0,44,0,2.0,0
53723,0,0,79,0,1.0,0
42226,2,0,61,0,0.0,0
74284,0,0,37,0,1.0,0
137969,0,0,61,0,2.0,0
20445,0,0,63,0,0.0,0
1512,3,0,41,0,0.0,0
88180,0,0,41,0,1.0,0
118153,1,0,58,0,0.0,0
146982,0,0,76,0,0.0,0
45355,0,1,46,0,0.0,0
97457,0,0,67,0,0.0,0
37114,0,0,42,0,0.0,0
4960,0,0,54,0,2.0,0
134131,1,0,34,1,0.0,0
138565,0,0,61,0,1.0,0
5278,0,0,68,0,0.0,0
64450,0,0,32,0,3.0,0
33550,1,0,57,0,3.0,1
81695,0,0,34,0,0.0,0
111314,2,0,29,0,0.0,0
47799,0,0,83,0,0.0,0
29586,0,0,42,0,0.0,1
129682,4,0,55,0,1.0,0
82662,0,0,61,0,1.0,0
134447,0,0,71,0,0.0,0
89516,2,0,51,0,0.0,0
31251,0,0,80,0,0.0,0
23425,1,0,33,0,4.0,1
110357,0,0,57,0,0.0,0
102121,0,0,64,0,0.0,0
1741,0,0,37,0,0.0,0
84229,0,0,55,1,2.0,0
131695,0,0,46,0,0.0,0
86150,0,0,44,0,2.0,0
100115,0,1,41,0,0.0,0
90222,0,0,57,0,2.0,0
44752,0,0,30,0,0.0,0
35489,0,0,58,0,0.0,0
64975,0,0,68,0,0.0,0
135677,0,0,41,1,0.0,1
41115,0,0,68,0,1.0,0
40484,0,0,42,0,3.0,0
138176,1,0,30,0,2.0,0
120636,0,0,55,0,0.0,0
89626,0,0,46,0,2.0,0
69503,0,0,58,0,2.0,0
94375,0,0,61,0,0.0,0
133484,0,0,57,0,0.0,0
111199,0,0,66,0,0.0,0
77237,0,0,28,0,0.0,0
24345,0,0,49,0,0.0,0
123998,0,1,40,0,2.0,0
18690,2,6,33,2,1.0,1
98873,3,0,59,0,0.0,0
3992,2,2,60,1,0.0,1
96464,0,0,71,0,1.0,0
149190,0,0,70,0,0.0,0
103101,0,0,43,0,1.0,0
83258,0,0,55,0,0.0,0
54070,1,0,44,0,1.0,0
251,7,0,58,0,0.0,1
32832,0,0,54,0,0.0,0
93973,0,0,38,0,1.0,0
63324,0,0,60,0,2.0,0
55180,1,0,60,0,1.0,0
72929,0,0,61,0,0.0,0
92757,0,0,66,0,1.0,0
1514,0,0,34,1,0.0,0
1719,0,0,25,0,0.0,0
1486,0,0,34,0,3.0,0
107013,0,0,53,0,0.0,0
86520,0,0,64,0,0.0,0
90257,1,0,42,0,2.0,0
91963,0,0,54,0,2.0,0
1674,0,0,52,0,4.0,0
116710,0,0,43,0,0.0,0
76787,0,0,45,0,2.0,0
36380,1,0,63,0,0.0,0
105508,0,0,45,0,3.0,0
141671,0,0,24,0,0.0,0
28464,0,0,42,0,1.0,0
39478,0,0,35,0,3.0,0
57038,0,0,47,0,1.0,0
92885,0,0,72,0,0.0,0
139256,0,0,70,0,0.0,0
128618,0,0,66,0,0.0,0
131510,2,0,41,0,2.0,0
11187,0,0,90,0,0.0,0
145834,0,0,71,0,0.0,0
133315,0,0,51,0,1.0,0
126494,0,0,46,0,3.0,0
11900,0,0,30,0,1.0,0
33948,0,0,54,0,3.0,0
11815,0,0,22,0,1.0,0
112378,0,0,73,0,1.0,0
20202,0,0,32,0,3.0,0
118048,0,0,49,0,1.0,0
62267,0,0,58,0,1.0,0
104961,1,0,61,0,0.0,0
28916,0,0,85,0,0.0,0
73550,0,0,64,4,1.0,0
149758,0,0,35,0,1.0,0
134638,0,0,51,0,1.0,0
16777,0,0,28,0,0.0,0
38371,3,1,40,3,0.0,1
30937,0,0,65,0,0.0,0
66895,0,0,67,0,0.0,0
56861,0,0,53,0,0.0,0
90872,0,0,49,0,2.0,0
57560,0,0,40,0,2.0,0
124787,0,0,43,0,1.0,0
45608,0,0,51,0,0.0,0
112134,0,0,22,0,0.0,0
72922,0,0,42,0,3.0,0
117318,0,0,68,0,0.0,0
41826,0,0,58,0,3.0,0
116154,0,0,56,0,3.0,0
145131,1,0,42,0,3.0,0
140325,0,0,35,0,0.0,1
111186,0,0,69,0,0.0,0
43681,0,0,28,0,0.0,0
88374,0,0,30,0,0.0,0
22114,0,0,54,0,0.0,0
125403,0,0,39,0,0.0,0
71702,0,0,41,0,0.0,0
13563,0,0,54,0,2.0,0
121761,0,0,54,0,0.0,0
122005,0,0,59,0,1.0,0
106542,0,0,32,0,0.0,0
90648,0,0,46,0,0.0,0
117029,0,0,64,0,0.0,0
118117,0,0,51,0,0.0,0
102238,0,0,86,0,0.0,0
73807,0,0,65,0,1.0,0
126767,0,0,61,0,0.0,0
105600,0,1,23,0,0.0,0
131991,0,0,47,0,0.0,0
74576,0,0,47,0,0.0,0
133162,0,0,27,0,0.0,0
43286,0,0,69,0,0.0,0
19082,0,0,46,0,3.0,0
87545,0,0,47,0,0.0,0
130861,0,0,49,0,2.0,0
44017,0,0,50,0,0.0,0
59198,0,0,53,0,1.0,0
126656,0,0,53,0,4.0,0
26580,0,0,63,0,0.0,0
120978,0,0,79,0,1.0,0
42496,0,0,32,0,0.0,0
104309,0,2,34,3,3.0,1
51858,0,0,66,0,0.0,0
14247,2,0,53,0,1.0,0
56431,0,0,52,0,0.0,0
89758,1,0,49,0,2.0,0
121585,2,0,51,0,1.0,0
118311,0,0,66,0,0.0,0
13566,0,0,32,0,2.0,0
43002,0,0,38,0,3.0,0
23121,0,1,33,0,0.0,0
9038,0,0,75,0,0.0,0
84464,1,0,27,0,0.0,1
102131,0,0,65,0,0.0,0
145602,0,0,74,0,0.0,0
109929,0,0,54,0,0.0,0
123934,0,0,50,0,0.0,0
129234,0,0,51,0,3.0,0
33054,0,0,64,0,1.0,0
140024,0,0,60,0,1.0,0
123099,0,0,47,0,0.0,0
63970,1,0,53,0,0.0,0
43718,1,0,60,0,0.0,0
86208,0,0,64,0,0.0,0
46605,0,0,63,0,3.0,0
118305,0,0,31,0,0.0,0
40971,0,0,54,1,1.0,1
14197,0,0,33,0,0.0,0
114250,0,0,37,0,3.0,0
100024,2,0,57,0,0.0,0
27112,0,0,29,0,3.0,0
7980,0,0,59,1,1.0,0
75835,1,0,70,0,0.0,0
58383,0,0,48,0,3.0,0
108302,0,0,62,0,0.0,0
124510,0,0,32,0,2.0,0
44824,0,0,53,0,0.0,0
20469,0,0,43,0,3.0,0
59697,1,0,45,0,0.0,0
104028,0,0,43,0,0.0,0
78391,0,0,81,0,0.0,0
50996,0,0,33,0,1.0,0
5897,0,0,77,0,0.0,0
87616,0,1,56,0,0.0,1
1187,0,0,58,0,1.0,0
77266,0,0,81,0,0.0,0
80348,0,0,27,0,0.0,0
56237,1,0,72,0,0.0,0
93481,0,0,70,0,0.0,0
114226,0,0,77,0,0.0,0
26502,0,0,34,0,1.0,0
129562,0,0,54,0,0.0,0
43578,0,0,51,0,3.0,0
123308,0,0,53,0,2.0,0
20096,0,0,44,0,2.0,0
37936,0,0,45,0,2.0,0
80836,0,0,45,0,1.0,0
23349,0,0,28,0,1.0,0
93674,0,0,56,0,0.0,0
93244,0,0,41,0,0.0,0
75121,0,0,32,0,0.0,0
82759,0,0,70,0,1.0,0
4490,0,0,30,0,0.0,0
74647,2,0,49,0,2.0,0
27774,0,0,59,0,1.0,0
30798,0,0,50,0,1.0,0
53025,0,1,58,0,1.0,1
145291,0,0,67,0,0.0,0
131364,0,0,43,0,2.0,0
94148,0,0,50,0,5.0,0
91670,0,0,44,0,1.0,0
42325,0,0,41,0,1.0,0
57866,0,0,47,0,0.0,0
127731,0,0,64,0,0.0,0
112460,0,0,56,0,0.0,0
148272,0,0,57,0,1.0,0
83386,0,0,49,0,1.0,1
53967,0,3,46,0,1.0,0
99451,0,0,47,0,2.0,0
91065,0,0,56,0,0.0,1
118745,0,0,58,0,0.0,0
2663,0,0,64,0,0.0,0
11453,0,0,64,0,0.0,0
11343,0,0,81,0,0.0,0
126923,0,0,47,0,2.0,0
47408,0,0,34,0,0.0,0
80998,0,0,66,0,0.0,0
7420,0,0,51,1,0.0,0
103951,0,0,52,0,0.0,0
124751,0,0,52,0,0.0,0
82727,0,0,52,0,0.0,0
84497,0,0,31,0,2.0,0
142319,0,0,36,0,3.0,0
70014,0,0,35,0,0.0,0
63079,0,0,47,0,1.0,0
30038,3,0,50,1,2.0,0
27847,4,3,69,1,0.0,1
96273,0,0,45,0,0.0,0
129985,0,0,57,0,1.0,0
52198,1,0,63,0,1.0,0
127007,0,0,35,0,2.0,0
82237,0,0,35,1,0.0,0
47832,0,0,66,0,1.0,0
67918,3,2,41,2,2.0,1
52100,0,0,38,0,4.0,0
23205,0,0,32,0,3.0,0
60297,0,0,43,0,2.0,0
12291,0,0,52,0,1.0,0
7700,0,0,51,0,0.0,0
78691,0,0,61,0,0.0,0
75718,0,0,55,0,0.0,0
16745,0,0,66,0,0.0,0
74205,0,0,53,0,0.0,0
132447,0,0,65,0,0.0,0
3777,0,0,54,1,0.0,1
63037,0,0,33,0,0.0,0
29188,0,0,61,0,0.0,0
87240,0,0,53,0,1.0,0
57642,0,0,22,0,0.0,0
54806,3,0,50,0,2.0,0
10067,0,0,49,0,0.0,1
131189,0,0,61,0,0.0,0
101969,0,0,64,0,0.0,0
10409,0,0,48,0,1.0,0
49349,0,0,46,0,0.0,0
25582,1,0,32,0,0.0,0
83803,5,0,33,2,0.0,1
61059,0,0,53,0,0.0,0
147402,0,0,48,0,0.0,0
38183,0,0,50,0,3.0,0
97116,0,0,35,0,1.0,0
39084,1,0,43,0,2.0,0
26718,0,0,53,0,0.0,0
13417,0,0,51,0,0.0,0
47167,0,0,48,0,2.0,0
24302,0,0,63,0,0.0,0
61409,0,0,59,0,0.0,0
68605,0,0,37,0,2.0,0
59240,0,0,31,0,1.0,0
113363,0,0,46,0,2.0,1
46902,0,0,45,0,2.0,0
128928,0,0,30,0,0.0,0
25648,2,0,47,0,0.0,0
37531,0,0,47,0,4.0,0
107793,0,0,46,0,1.0,0
147940,1,0,66,0,0.0,0
132667,0,0,54,0,1.0,0
22360,0,0,41,0,3.0,0
114869,0,0,36,0,0.0,0
131105,0,0,56,0,1.0,0
84172,0,0,32,0,0.0,0
21298,0,0,61,0,1.0,0
70692,1,0,66,0,0.0,0
23556,1,0,45,0,2.0,0
41814,0,0,60,0,0.0,0
15395,0,0,29,0,0.0,0
40415,0,0,42,0,0.0,0
2600,0,0,78,0,0.0,0
79059,0,0,52,0,1.0,0
113802,0,0,81,0,0.0,0
142345,0,0,41,0,1.0,0
119972,0,0,53,0,0.0,0
48896,0,0,24,0,0.0,0
13187,0,0,72,0,1.0,0
141495,0,0,46,0,2.0,0
118492,0,1,33,0,2.0,0
135560,0,0,58,0,0.0,0
17848,0,0,55,0,0.0,0
141564,0,0,52,0,0.0,0
95086,0,0,44,0,2.0,0
75109,0,0,47,0,2.0,0
8064,0,2,38,0,0.0,0
82081,0,0,68,0,0.0,0
2422,0,0,84,0,0.0,0
1643,0,1,71,0,0.0,0
113522,0,0,30,0,0.0,0
103635,0,0,65,0,0.0,0
100470,0,0,29,0,0.0,0
118148,0,1,42,0,3.0,0
54729,0,0,64,0,2.0,0
114098,0,0,91,0,0.0,0
86458,1,0,76,1,0.0,0
39953,0,0,45,0,2.0,0
120198,0,0,69,0,0.0,0
139535,0,0,73,0,2.0,0
91384,0,0,45,0,0.0,0
83370,0,0,35,0,4.0,0
70712,0,0,45,0,3.0,1
63659,0,0,49,0,2.0,0
22840,0,1,60,0,0.0,0
130992,0,0,47,0,2.0,0
83433,0,0,60,0,1.0,0
27211,0,0,72,0,1.0,0
42961,0,0,53,0,0.0,0
60997,0,0,61,0,0.0,0
4580,0,0,51,0,0.0,0
10451,0,0,55,0,0.0,1
21457,0,0,48,0,0.0,0
33086,1,0,49,1,1.0,0
90684,0,0,38,0,3.0,0
136458,0,0,43,0,0.0,0
133287,0,0,76,0,1.0,0
10182,0,0,64,0,1.0,0
34109,5,1,63,1,0.0,0
110297,0,0,73,0,0.0,0
101816,0,0,42,0,2.0,0
58285,0,0,57,0,0.0,0
134985,0,0,34,0,0.0,0
135659,0,0,47,0,2.0,0
105880,0,0,29,0,0.0,0
56512,0,0,66,0,1.0,0
88872,0,0,81,0,0.0,0
140876,0,0,42,0,4.0,0
20821,3,0,50,0,2.0,1
14489,0,0,56,0,2.0,0
9941,0,0,35,0,1.0,0
74688,1,0,44,0,3.0,0
43005,0,0,36,0,0.0,0
81404,0,0,51,0,3.0,0
18060,0,0,43,0,0.0,0
97735,0,1,89,0,0.0,1
14819,0,0,59,0,1.0,0
37318,0,0,46,0,0.0,0
50138,0,3,45,0,0.0,1
106787,0,0,49,0,2.0,0
55449,0,0,31,0,0.0,0
51147,0,0,26,0,0.0,0
32416,0,0,62,0,1.0,0
50516,0,0,42,0,3.0,0
8659,0,0,42,0,0.0,0
83635,0,0,63,0,0.0,0
46843,0,0,56,0,0.0,0
63958,0,0,45,0,2.0,0
3678,0,0,75,0,0.0,0
33041,0,0,53,0,0.0,0
52192,0,0,33,0,2.0,0
8955,0,1,27,2,0.0,1
81293,0,0,47,0,2.0,0
89043,0,0,69,0,0.0,0
117237,0,0,51,0,3.0,0
57692,0,0,38,0,1.0,0
67560,0,0,50,0,0.0,0
99060,0,0,53,0,2.0,0
100998,0,0,45,0,2.0,0
67531,0,0,48,0,2.0,0
93911,0,0,47,2,0.0,1
40791,0,0,53,0,2.0,0
71337,0,0,55,0,0.0,0
109939,0,0,65,0,0.0,1
33917,0,0,45,0,0.0,0
27320,1,0,53,0,0.0,0
71940,0,0,37,0,0.0,0
34328,0,0,36,0,1.0,0
116207,0,0,68,0,0.0,0
68172,0,0,47,0,0.0,0
74735,0,0,27,0,1.0,0
55383,0,0,29,0,0.0,1
115344,0,0,35,0,0.0,0
22487,0,0,76,0,0.0,0
126920,0,0,66,0,0.0,0
103203,0,0,37,0,2.0,0
53587,0,0,51,0,2.0,0
146028,0,0,35,0,3.0,0
125297,0,0,42,0,1.0,0
148985,0,0,47,0,1.0,0
128068,0,0,45,0,2.0,0
9677,0,0,57,0,1.0,0
62346,0,0,57,0,0.0,0
122150,0,0,44,0,3.0,0
7875,0,0,62,0,0.0,0
94070,0,0,54,0,1.0,0
102432,0,0,37,0,2.0,0
53024,0,0,51,0,0.0,0
41167,0,0,62,0,0.0,0
64661,0,0,57,0,0.0,0
122338,0,0,37,0,0.0,0
94984,0,1,30,0,3.0,0
132691,0,0,67,0,0.0,0
115765,0,0,56,0,2.0,0
41707,0,0,63,0,1.0,0
82699,0,0,58,0,0.0,0
35596,0,0,64,0,1.0,0
12168,0,0,68,0,0.0,0
47295,1,0,58,0,0.0,0
21133,0,0,53,0,0.0,0
113714,0,0,64,0,0.0,0
22473,0,0,44,0,0.0,0
142923,0,0,77,0,0.0,0
126218,0,0,74,0,0.0,0
79789,1,0,68,0,0.0,0
48682,0,0,48,0,1.0,0
133811,0,0,50,0,2.0,0
5740,0,0,58,0,1.0,0
101713,0,0,83,0,0.0,0
11517,0,0,64,0,0.0,0
16319,0,1,44,0,0.0,0
55134,0,0,45,0,2.0,0
37138,0,0,56,1,2.0,0
90866,0,0,34,0,2.0,0
5177,0,0,54,0,0.0,0
85896,0,0,64,0,0.0,0
43569,1,0,49,0,3.0,0
96198,3,2,29,0,1.0,1
122503,0,0,58,0,0.0,0
88732,1,0,74,0,0.0,0
945,0,0,29,0,0.0,0
133046,0,0,64,0,1.0,0
51592,0,0,45,0,0.0,0
83542,0,0,63,0,0.0,0
138049,5,1,55,0,1.0,0
124179,2,0,60,0,0.0,0
35395,0,0,25,0,0.0,0
10395,0,0,29,0,0.0,0
60562,0,0,27,0,0.0,0
64136,1,2,47,0,1.0,0
128156,0,0,52,0,2.0,0
77325,0,0,51,0,2.0,0
22731,0,0,54,0,0.0,0
117873,0,0,35,0,2.0,0
48741,0,0,62,2,0.0,0
101391,0,0,45,0,2.0,0
110062,1,0,36,0,2.0,0
18445,0,0,42,0,0.0,0
12059,0,0,66,0,0.0,0
133954,0,0,72,0,1.0,0
46630,0,2,37,0,1.0,0
96861,0,0,74,0,1.0,0
49629,0,0,36,0,0.0,0
53282,0,0,71,0,0.0,0
1683,0,0,80,0,0.0,0
13147,0,0,60,0,1.0,0
120092,0,0,57,0,4.0,0
140259,0,0,53,0,1.0,0
